SampleNo_coarse,SampleNo_fine,subSite,Site,voTop,voBottom,voUnits,SoilHorizon,mass,mass_fine,mass_frac_fine,mass_coarse,mass_frac_coarse,MunsellHue,MunsellValue,MunsellChroma,pH_DDI,pH_CaCl2,cec_direct,cec_summation,ssa_untreated,ssa_total,ssa_occluded,ssa_noiron,ssa_percFe,ssa_total_inv,ssa_total_inv_cum,sand,silt,clay,coarse,bulk_sand,bulk_silt,bulk_clay,bd,bd_stdev,bd_stderr,bd_bagerr,c_pct,c_inventory,c_inventory_cum,c_pctse,c_L1,c_L2,c13_norm,C13_normse,C13_L1,C13_L2,n_pct,n_pctse,n_L1,n_L2,N15_norm,N15_normse,N15_L1,N15_L2,c_n,c_n_se,C_N_L1,C_N_L2,Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,Fe2O3,P2O5,LOI,Total,Ba_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cu_ppm,Hf_ppm,La_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Rb_ppm,Sc_ppm,Sr_ppm,Th_ppm,V_ppm,Y_ppm,Zn_ppm,Zr_ppm,DFc_pct,DFc_pctse,DFc_L1,DFc_L2,DFc13_norm,DFC13_normse,DFC13_L1,DFC13_L2,DFn_pct,DFn_pctse,DFn_L1,DFn_L2,DFN15_norm,DFN15_normse,DFN15_L1,DFN15_L2,DFc_n,DFc_n_se,DFC_N_L1,DFC_N_L2,LFc_pct,LFc_pctse,LFc_L1,LFc_L2,LFc13_norm,LFC13_normse,LFC13_L1,LFC13_L2,LFn_pct,LFn_pctse,LFn_L1,LFn_L2,LFN15_norm,LFN15_normse,LFN15_L1,LFN15_L2,LFc_n,LFc_n_se,LFC_N_L1,LFC_N_L2,coarse_c_pct,coarse_c_pctse,coarse_c_L1,coarse_c_L2,coarse_c13_norm,coarse_C13_normse,coarse_C13_L1,coarse_C13_L2,coarse_n_pct,coarse_n_pctse,coarse_n_L1,coarse_n_L2,coarse_N15_norm,coarse_N15_normse,coarse_N15_L1,coarse_N15_L2,coarse_c_n,coarse_c_n_se,coarse_C_N_L1,coarse_C_N_L2,one
3954.004,3954.003,LP1,LP_Well1,0,6,cm,A1,307.92,119.56,38.82826708,188.36,61.17173292,10YR,3,2,4.27,3.85,,,4.08175,21.0639,16.98215,5.9558,0.72,4.36E+05,4.36E+05,48.676,25.087,26.237,61.172,18.9,9.741,10.187,0.89,,,,7.111925658,3.793738588,3.793738588,0.016313084,7.095612574,7.128238743,-26.6107072,0.649622516,-27.26137509,-25.96213005,0.351645703,0.003862053,0.34778534,0.355509446,0.169935275,0.38674998,-0.217246046,0.556253913,23.58521248,0.264620569,0.011219766,23.32059191,0,1.210389932,16.37631145,59.89505672,2.785697105,0.273066766,1.272987416,0.162009919,8.157415535,0.166533383,12.6619129,102.1703901,708.1691774,144.924921,146.4884384,92.56047362,32.04494452,11.4959023,45.2639142,21.11658918,52.34732503,53.5664249,37.51546711,93.95108797,16.65036266,79.4335751,10.86523464,147.8061435,86.59954126,175.3516211,337.9649743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3955.004,3955.003,LP1,LP_Well1,6,14,cm,A2,597,114.87,19.24120603,482.13,80.75879397,10YR,4,3,4.74,4.26,,,9.59115,21.03645,11.4453,6.0469,0.71,4.17E+05,8.53E+05,51.162,22.594,26.243,80.759,9.844,4.347,5.05,1.29,,,,3.001651403,3.090493812,6.8842324,0.025344248,2.976307155,3.026995651,-27.16939922,0.65021407,-27.8206776,-26.52024946,0.14922875,0.004835109,0.14439004,0.154060259,2.652892485,0.384148815,2.26836537,3.036663,23.45663192,0.785392368,0.033482743,22.67123955,0,1.210389932,16.37631145,59.89505672,2.785697105,0.273066766,1.272987416,0.162009919,8.157415535,0.166533383,12.6619129,102.1703901,708.1691774,144.924921,146.4884384,92.56047362,32.04494452,11.4959023,45.2639142,21.11658918,52.34732503,53.5664249,37.51546711,93.95108797,16.65036266,79.4335751,10.86523464,147.8061435,86.59954126,175.3516211,337.9649743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3956.004,3956.003,LP1,LP_Well1,14,19,cm,BA,476.79,116.89,24.51603431,359.9,75.48396569,10YR,5,3,4.68,4.27,,,11.278,20.05055,8.77255,5.3273,0.73,3.27E+05,1.18E+06,49.087,23.406,27.507,75.484,12.034,5.738,6.744,1.33,,,,2.124833099,1.41211789,8.296350289,0.019573767,2.105259332,2.144406866,-27.1417417,0.650184415,-27.79298949,-26.49262066,0.110062527,0.003658517,0.106401231,0.113718266,2.865727584,0.383940989,2.481412841,3.249294819,22.51351177,0.776562916,0.034493193,21.73694886,0,1.326858233,16.85375462,65.57260522,2.636119752,0.31644027,1.206962724,0.209691048,9.123179921,0.15461268,7.601449468,102.752872,719.360493,168.275656,136.0313472,87.02089814,30.98432639,10.49425301,50.10372763,17.56597006,65.49118874,57.64402701,19.7209686,85.34029938,14.34029938,72.97910186,9.860745526,144.2244849,107.9200646,167.2514823,311.5029645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3957.004,3957.003,LP1,LP_Well1,19,28,cm,B1,526.91,158.64,30.10760851,368.27,69.89239149,10YR,5,4,4.66,4.24,,,10.51465,13.6878,3.17315,4.2854,0.69,5.44E+05,1.72E+06,53.65,18.85,27.5,69.892,16.153,5.675,8.28,1.47,,,,0.869614096,1.147961031,9.444311321,0.009359817,0.860254279,0.878973913,-26.96440194,0.649995187,-27.61545449,-26.31546411,0.050297006,0.001691072,0.048604638,0.051986783,4.907797726,0.382069986,4.525397608,5.289537581,20.1624052,0.71178345,0.035302507,19.45062175,0,1.326858233,16.85375462,65.57260522,2.636119752,0.31644027,1.206962724,0.209691048,9.123179921,0.15461268,7.601449468,102.752872,719.360493,168.275656,136.0313472,87.02089814,30.98432639,10.49425301,50.10372763,17.56597006,65.49118874,57.64402701,19.7209686,85.34029938,14.34029938,72.97910186,9.860745526,144.2244849,107.9200646,167.2514823,311.5029645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3958.004,3958.003,LP1,LP_Well1,28,44,cm,B2,567.6,222.55,39.20894996,345.05,60.79105004,10YR,5,4,4.62,4.17,,,6.9265,15.0896,8.1631,3.9964,0.74,1.46E+06,3.19E+06,57.28,17.72,25,60.791,22.459,6.948,9.802,1.55,,,,0.463634405,1.146608294,10.59091962,0.013549238,0.450085168,0.477183643,-26.71771218,0.649734596,-27.36849577,-26.06902658,0.028202785,0.002123149,0.02607736,0.030323657,4.046576653,0.382831804,3.66339632,4.429059928,19.17085862,1.548140037,0.080754862,17.62271858,0,1.291271758,16.56271403,63.80625222,2.71757016,0.251907638,1.18531794,0.145577975,9.207797513,0.144635879,6.685260714,99.22212164,715.3928952,124.9977975,138.1040853,84.15026643,30.25435169,9.976305506,46.17460036,18.07861456,60.01854352,51.84973357,15.35492007,86.3410302,15.40461812,75,9.354920071,148.7802842,105.0706217,153.1445826,307.9886323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3959.004,3959.003,LP1,LP_Well1,44,59,cm,B2,665.03,211.98,31.87525375,453.05,68.12474625,10YR,6,2,4.61,4.17,,,7.5539,12.809,5.2551,5.2017,0.59,1.02E+06,4.21E+06,59.28,14.72,26,68.125,18.896,4.692,8.288,1.67,,,,0.298856158,0.749647133,11.34056675,0.011095216,0.287760943,0.309951374,-26.13734028,0.649133643,-26.78750324,-25.48923596,0.022075426,0.001704052,0.020369537,0.023777641,4.504413626,0.382421842,4.121653036,4.886496719,15.78741443,1.35228735,0.085656037,14.43512708,0,1.142048937,14.02136925,70.14987642,2.291608997,0.221898171,0.938252595,0.103379634,7.610383094,0.129606525,5.501179828,100.4625017,569.133218,105.1905586,170.2765695,72.61344538,31.75926841,7.992016807,45.18497281,14.6730351,47.96749876,45.876174,13.69421651,75.94908552,13.28472565,62.40163124,9.154053386,124.7872961,88.7195996,128.8183391,246.4757785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3960.004,3960.003,LP1,LP_Well1,59,72,cm,B3,465.52,195.9,42.08197285,269.62,57.91802715,10YR,6,2,4.65,4.18,,,4.3261,11.2038,6.8777,4.8832,0.56,1.07E+06,5.28E+06,60.64,13.36,26,57.918,25.519,5.622,10.941,1.75,,,,0.249302702,0.566414192,11.90698094,0.01480259,0.234500112,0.264105291,-26.10963694,0.649105383,-26.7597707,-25.46155994,0.021087789,0.002211575,0.018873691,0.02329684,4.027226115,0.382849379,3.644027794,4.409726551,13.78649417,1.661498497,0.120516389,12.12499567,0,1.449074755,18.13973652,65.08943015,3.586150737,0.166792892,1.185488971,0.148375368,8.843144606,0.134010539,5.353326484,102.0593535,781.082966,117.6669117,137.7392157,87.54889706,41.77708332,8.377708332,50.54985291,18.65762255,55.00526958,53.39117645,13.30052696,97.25551472,18.96740196,60.19558822,10.41955882,144.5554167,82.30843132,143.0757352,256.7497549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3961.004,3961.003,LP1,LP_Well1,72,84,cm,B3,770.12,161.7,20.99672778,608.42,79.00327222,10YR,6,3,4.68,4.25,,,7.50285,13.30785,5.805,4.86805,0.63,5.84E+05,5.87E+06,63.64,10.36,26,79.003,13.362,2.175,5.459,1.74,,,,0.190209714,0.397602225,12.30458316,0.011449428,0.178760286,0.201659142,-25.9079296,0.648900796,-26.55785194,-25.26005035,0.016378888,0.001709428,0.014667511,0.018086367,4.333404573,0.382573651,3.950488521,4.715635822,13.54272863,1.631654955,0.120481994,11.91107367,0,1.640115383,18.73959415,63.07444737,4.096416001,0.166624493,1.267834009,0.15184332,9.395414978,0.111324899,4.971260731,102.3107637,810.4272283,151.0783401,138.349089,82.91589075,36.77074889,10.00841092,72.05161938,17.16151824,78.33837039,73.34908898,13.17949392,114.4700405,18.86751013,64.28917004,9.236174098,148.3689981,105.6681071,165.4931172,298.3848176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3962.004,3962.003,LP1,LP_Well1,84,100,cm,C1,2108.57,961.02,45.57686015,1147.55,54.42313985,10YR,6,3,4.74,4.28,,,9.6093,20.12925,10.51995,10.5542,0.48,2.36E+06,8.23E+06,61.28,8.72,30,54.423,27.929,3.974,13.673,1.61,,,,0.174477655,0.449747328,12.75433049,0.013246417,0.161231238,0.187724072,-25.02427476,0.648028856,-25.6732952,-24.37723749,0.018309281,0.00195808,0.016348961,0.020265121,4.793077849,0.382169159,4.410576108,5.174914425,11.11287462,1.457485237,0.131152855,9.655389387,0.045236129,1.651532719,14.81345073,68.34958572,2.12044327,0.909722443,1.316768848,0.142272991,7.396685991,0.104061309,5.198724042,101.6655161,577.857502,114.4487161,148.596106,76.8384424,19.19221199,16.84846728,56.4024857,18.4615576,64.05625529,69.94987559,16.76379447,87.37323962,13.3231152,79.38442398,9.501947003,132.5211682,125.7627171,166.364954,479.3231152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4233.004,4233.003,LP1,LP_Well1,100,146,cm,SAP,335.14,197.52,58.93656382,137.62,41.06343618,GLEY 1,6,2,4.93,4.61,,,3.9006,10.19565,6.29505,3.5099,0.66,4.57E+06,1.28E+07,67.28,10.72,22,41.063,39.653,6.318,12.966,1.65,,,,0.120673376,0.918185381,13.67251587,0.014596526,0.10607685,0.135269903,-25.78041397,0.648772524,-26.43020371,-25.13265866,0.010621076,0.002130533,0.008487934,0.012749001,-1.088936788,0.388191754,-1.477586775,-0.701203267,13.24954185,3.103600851,0.234242126,10.145941,0,1.680681818,15.86022727,64.95738636,2.627272727,0.367045455,1.255681818,0.097556818,6.655113636,0.079204545,5.050694407,98.63086486,798.8068182,79.39772727,97.55681818,73.40909091,14.48863636,15.45454545,31.68181818,19.02840909,38.92613636,62.78409091,14.58522727,104.3181818,12.55681818,50.22727273,8.789772727,123.1534091,83.74431818,160.3409091,453.0113636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
